site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,median_income,christian_p,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9
高雄市阿蓮區,0.8108,0.5822,0.2655,0.1892,0.5005,0.0721,0.653,0.1712,0.3411,41.5144,41,0.4011,537,0.0554,0.5108896797153025,0.3619596541786744,0.20784653108322515,0.009171722872865811,-0.37492642731018244,-0.2715920915712799,0.1401815300388993,0.5585253456221199,0.47383090740167233,0.5133632009887223
高雄市大寮區,0.8337,0.6381,0.2735,0.1899,0.4738,0.1003,0.6452,0.1727,0.349,41.2052,41,0.3659,555,0.0348,0.5266611218926162,0.39069767441860465,0.2909815645241654,0.004652708541043536,-0.3541505376344086,-0.35125355388989404,0.13367252543940797,0.5879077167859984,0.5322173813345563,0.5152248437184916
高雄市大社區,0.8448,0.6548,0.2957,0.2114,0.4858,0.0969,0.6505,0.173,0.3461,41.5221,41.6988,0.4065,576,0.0427,0.4837779379956741,0.34051414620135,0.2026930239220742,0.07635115813554476,-0.3206984032233995,-0.2761122518822724,0.14811524305114862,0.44283470064583697,0.4699771086458884,0.5015654351909831
高雄市大樹區,0.8162,0.6026,0.2577,0.1836,0.4862,0.0784,0.6456,0.159,0.3183,42.8125,43,0.5799,550,0.0368,0.566609491137793,0.42572062084257206,0.24722527137455788,0.09989327641408752,-0.40025065512133984,-0.3705386112913692,0.23614430408558096,0.5957041399618915,0.51993006993007,0.520603963510538
高雄市鳳山二,0.8582,0.689,0.3495,0.2457,0.4915,0.0941,0.6427,0.1542,0.3563,39.6611,39.8213,0.2249,620,0.0424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市鳳山一,0.8773,0.7345,0.4029,0.287,0.4828,0.0956,0.6438,0.1586,0.3406,40.7611,40.8703,0.336,620,0.0424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市岡山區,0.8767,0.7044,0.3474,0.2472,0.4964,0.0844,0.6517,0.1664,0.3423,40.5224,40.063,0.3171,599,0.0535,0.48937259923175414,0.3659327925840093,0.2316932316932317,0.06211687780956273,-0.36871750433275563,-0.33671280951452526,0.1895398337725522,0.5558628318584071,0.4286513710128707,0.5195778950291585
高雄市鼓山區,0.8804,0.7414,0.4451,0.3296,0.4921,0.0973,0.6528,0.1344,0.3192,40.573,41,0.3198,680,0.0725,0.5258241758241758,0.4247682434038507,0.3279158699808795,0.03544620517097581,-0.3614112458654906,-0.33243865030674846,0.14076782449725778,0.5641421947449768,0.5114268066707844,0.5186440677966102
高雄市湖內區,0.8307,0.6029,0.296,0.2056,0.5096,0.0787,0.6608,0.1545,0.3384,41.8029,41.7973,0.4472,555,0.0737,0.5206022993183437,0.39182097237350233,0.2518255377935662,0.04408014571948998,-0.37256385998107855,-0.36993664810904203,0.17279549718574108,0.5665964289675058,0.4734250867181381,0.5158249158249159
高雄市茄萣區,0.7787,0.4867,0.2235,0.17,0.4801,0.0706,0.6351,0.1474,0.3237,42.8075,42.9426,0.5772,499,0.0284,0.5120471777590564,0.40123668842322224,0.2659265584970111,0.10060038072924293,-0.36177285318559554,-0.34674922600619196,0.13495015622675197,0.5077571346485348,0.4406779661016949,0.46219135802469136
高雄市甲仙區,0.716,0.4222,0.1437,0.0966,0.4643,0.111,0.6867,0.1317,0.2806,45.874,47,0.8753,494,0.0456,0.5983673469387755,0.43812709030100333,0.2706459525756337,-0.14841849148418493,-0.44716821639898563,-0.4315068493150685,0.1807447774750227,0.6363636363636364,0.5882352941176471,0.572972972972973
高雄市林園區,0.8107,0.5979,0.2508,0.1722,0.476,0.0936,0.6426,0.1649,0.3526,40.4575,40,0.3035,587,0.0231,0.5019002559528426,0.35211957853467285,0.23166785065908913,0.0721587941198418,-0.361952597708366,-0.327243018419489,0.20163909076851708,0.5759801827966174,0.4798084741169031,0.5118679050567595
高雄市苓雅區,0.8803,0.75,0.4436,0.3271,0.4787,0.0949,0.6432,0.1388,0.3085,43.7984,44,0.6992,625,0.0798,0.44704522467851465,0.3779521837075794,0.2970130723727452,0.007668312971146347,-0.33097441480675016,-0.29458969712658556,0.15546327536984167,0.5650130109963905,0.47960903269295585,0.5090126016908598
高雄市六龜區,0.7194,0.4429,0.1426,0.0927,0.4482,0.1217,0.6791,0.1342,0.2616,46.2427,48,0.8835,511,0.1103,0.5581769436997319,0.3933547695605573,0.20708154506437768,-0.0021119324181626186,-0.4142538975501114,-0.34862898712926693,0.1923743500866551,0.5137254901960784,0.46952988972722,0.45854483925549916
高雄市路竹區,0.8123,0.6334,0.3287,0.2323,0.528,0.064,0.667,0.1566,0.3399,40.9709,40.55,0.3469,576,0.0412,0.49962708212480317,0.3553519768563163,0.21539695268644748,0.007224273559158774,-0.3266693977877919,-0.3272512780180889,0.15257924176507148,0.5505597187528911,0.518324607329843,0.5086529884032114
高雄市茂林區,0.8132,0.5513,0.1739,0.1057,0.3921,0.1033,0.5882,0.2243,0.3848,36.4449,36,0.019,600,0.7688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
高雄市美濃區,0.8088,0.6426,0.2473,0.1569,0.5287,0.0875,0.7179,0.1332,0.2555,47.5694,50,0.9621,583,0.0274,0.6061108043438248,0.468192061015774,0.27309782608695654,-0.09862834748530372,-0.4387832699619772,-0.44694733571539536,0.18323723808184503,0.590839022241797,0.5484432832571304,0.5515484123872991
高雄市彌陀區,0.7782,0.5655,0.2246,0.157,0.5063,0.075,0.6681,0.1514,0.3252,42.0798,42,0.4851,515,0.0697,0.546440489432703,0.41989347919965453,0.29117481731309725,-0.006886858749121574,-0.26130358191426895,-0.36533647474598735,0.17914770376499792,0.5478260869565217,0.4967105263157895,0.5027455765710799
高雄市那瑪夏區,0.7731,0.5145,0.1842,0.1287,0.4804,0.0717,0.6455,0.2055,0.4317,34.5635,33.6346,0.0027,605,0.704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
高雄市楠梓區,0.8847,0.7359,0.3979,0.2878,0.5003,0.0909,0.6492,0.1667,0.3671,39.075,38.9678,0.1626,651,0.0693,0.4618055555555556,0.36875281404772625,0.27240850317773396,-0.046872150282691954,-0.35255813953488374,-0.32573080629617734,0.18053556003455226,0.514379622021364,0.45069274653626734,0.514760147601476
高雄市內門區,0.7523,0.4284,0.136,0.0943,0.5189,0.0861,0.707,0.1353,0.2662,46.6053,48,0.9133,501,0.1029,0.6323894684550422,0.4494129402947789,0.2894671003252439,0.04141438604989101,-0.4519774011299435,-0.41431870669745957,0.17757009345794392,0.5413056036972848,0.4655679811653914,0.4837956204379562
高雄市鳥松區,0.8773,0.7406,0.4189,0.3158,0.5185,0.085,0.6603,0.1595,0.3294,43.0394,43.6907,0.6152,688,0.0419,0.5879752431476569,0.4666666666666667,0.357847533632287,0.0782312925170068,-0.4447592067988669,-0.41954022988505746,0.17494089834515367,0.5645617342130066,0.4781783681214421,0.5060804490177736
高雄市旗津區,0.7577,0.5122,0.2151,0.1516,0.4529,0.1059,0.6362,0.1555,0.3353,42.1264,42,0.4878,525,0.1081,0.5090967124162145,0.4022727272727273,0.29093281148075667,0.16253081347576007,-0.3335643735920984,-0.26872708224201153,0.12179487179487179,0.5352192899183595,0.508698145670044,0.4847624455801628
高雄市旗山區,0.7934,0.5793,0.2359,0.1643,0.475,0.0936,0.667,0.1453,0.2843,45.068,46.5377,0.8103,541,0.0337,0.5552622896733751,0.40306462358427714,0.21568627450980393,-0.015821762996448177,-0.4054711246200608,-0.2992078001218769,0.20679585877355985,0.5625889046941679,0.5032537960954447,0.5131626397403534
高雄市前金區,0.8875,0.7659,0.4729,0.3525,0.4709,0.1025,0.6464,0.1243,0.2795,46.6482,48,0.916,638,0.2353,0.4531933508311461,0.3620499226861056,0.2551054947534695,0.032215647600262985,-0.3308991328160657,-0.3104875804967801,0.1389975115535016,0.5273906775588659,0.46213848553942155,0.47516198704103674
高雄市前鎮區,0.8487,0.6862,0.3656,0.2602,0.4737,0.0972,0.641,0.1448,0.3208,42.3673,42.3948,0.5122,614,0.0511,0.49791553380460396,0.38378555083360577,0.23979840676312794,0.0823794937933258,-0.35084175084175084,-0.3315963175264895,0.19190076614374316,0.5424890920423852,0.4864239107556304,0.498643289501148
高雄市橋頭區,0.8394,0.6899,0.3457,0.2513,0.5084,0.0773,0.6595,0.1592,0.3359,42.4536,42,0.5257,612,0.0216,0.4919080068143101,0.3777203983769827,0.26412663353579974,0.13009708737864079,-0.32389078498293516,-0.29223221586263287,0.13545546901456146,0.5283720930232558,0.4717514124293785,0.5113314447592068
高雄市仁武區,0.8674,0.6985,0.3442,0.243,0.5133,0.0888,0.6553,0.1637,0.3664,39.2986,39.2143,0.1816,614,0.031,0.5220472440944882,0.38186382177596484,0.29641283826305853,0.08118195956454122,-0.3269924565431289,-0.33553719008264465,0.14275814275814275,0.5353135313531353,0.4643570952698201,0.498457470251212
高雄市三民二,0.887,0.7454,0.4281,0.3097,0.4838,0.0974,0.6355,0.1562,0.3396,40.4569,40.782,0.3008,636,0.0663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市三民一,0.8567,0.7125,0.4049,0.2946,0.4747,0.0931,0.6424,0.1318,0.2981,45.0604,45.8396,0.8022,636,0.0663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市杉林區,0.7576,0.4237,0.1371,0.0889,0.4676,0.1188,0.6998,0.1235,0.2504,47.2417,49,0.9458,506,0.0771,0.603128054740958,0.41414141414141414,0.2194107452339688,-0.06515775034293553,-0.4787234042553192,-0.4290088021431305,0.15553840216132767,0.5500550055005501,0.5,0.45363128491620114
高雄市桃源區,0.7827,0.5057,0.1734,0.1254,0.4435,0.0947,0.6319,0.2044,0.4102,36.274,36,0.0163,584,0.7022,0.7025920873124147,0.4797843665768194,0.3115646258503401,-0.3514328808446455,-0.6309523809523809,-0.6666666666666666,0.2389937106918239,0.5962732919254659,0.5375,0.4647887323943662
