site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
高雄市阿蓮區,0.1892,0.653,41,53.7,39.94,36.33,31.89,27.04,16.08,17.74,28.08,38.42,36.26,37.1,12040
高雄市大寮區,0.1899,0.6452,41,55.5,42.49,39.22,35.82,27.85,17.08,17.05,30.47,41.37,39.21,40,50697
高雄市大社區,0.2114,0.6505,41.6988,57.6,40.9,36.81,33.8,29.16,18.29,19.15,30,38.75,37.97,39.09,15511
高雄市大樹區,0.1836,0.6456,43,55,41.94,37.75,33.61,29.57,15.96,16.77,29.81,39.8,37.46,38,18468
高雄市鳳山二,0.2457,0.6427,39.8213,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市鳳山一,0.287,0.6438,40.8703,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市岡山區,0.2472,0.6517,40.063,59.9,45.47,42.23,38.64,27.67,17.94,18.07,34.89,45.55,43.11,44.23,46117
高雄市鼓山區,0.3296,0.6528,41,68,42.13,40.34,37.21,27.36,19.22,19.41,33.11,43.06,41.57,42.36,63042
高雄市湖內區,0.2056,0.6608,41.7973,55.5,41.39,37.45,33.73,28.5,16.67,16.67,29.46,39.29,37.17,36.91,12901
高雄市茄萣區,0.17,0.6351,42.9426,49.9,39.81,36.6,32.79,27.72,15.61,17.21,26.42,35.71,34.08,34.69,12380
高雄市甲仙區,0.0966,0.6867,47,49.4,36.68,32.12,28.85,20.92,12.57,13.03,24.53,34.95,32.97,32.62,2337
高雄市林園區,0.1722,0.6426,40,58.7,41.02,36.61,33.32,28.51,16.49,17.21,30.27,39.56,36.47,38.18,29643
高雄市苓雅區,0.3271,0.6432,44,62.5,44.07,41.41,38.51,29.54,19.43,20.23,33,42.9,41.12,42.41,81881
高雄市六龜區,0.0927,0.6791,48,51.1,34.83,30.74,26.41,20.12,12.29,12.62,24.39,32.1,31.15,30.4,4767
高雄市路竹區,0.2323,0.667,40.55,57.6,43.05,38.91,34.76,28.12,17.58,18.03,31.08,41.87,40.05,40.45,23526
高雄市茂林區,0.1057,0.5882,36,60,53.56,50.28,43.41,20.87,14.43,15.23,39.44,50.09,48.54,46.93,975
高雄市美濃區,0.1569,0.7179,50,58.3,41.51,37.44,32.79,22.61,13.49,13.94,29.2,39.3,37.82,37.72,17464
高雄市彌陀區,0.157,0.6681,42,51.5,46.67,41.59,38.46,29.16,19.6,17.55,32.1,42.62,40.47,38.82,8992
高雄市那瑪夏區,0.1287,0.6455,33.6346,60.5,58.75,54.08,45.01,20.42,11.76,11.67,30.73,40.39,38.66,37.83,1233
高雄市楠梓區,0.2878,0.6492,38.9678,65.1,42.59,39.93,36.49,26.8,18.42,18.67,33.05,43.34,41.59,42.63,83876
高雄市內門區,0.0943,0.707,48,50.1,38.08,33.69,29.87,23.87,12.01,13.04,24.39,32.16,31.11,30.75,5414
高雄市鳥松區,0.3158,0.6603,43.6907,68.8,43.33,40.28,36.84,30.32,20.09,20.1,32.21,43.33,41.3,42.41,21976
高雄市旗津區,0.1516,0.6362,42,52.5,38.33,36.26,33.13,29.67,15.82,16.99,25.47,33.52,32.1,32.71,11038
高雄市旗山區,0.1643,0.667,46.5377,54.1,42,37.35,32.86,28.32,16.13,17.67,30.17,39.81,37.48,37.96,16110
高雄市前金區,0.3525,0.6464,48,63.8,43.41,40.58,37.11,30.53,19.43,19.96,32.33,41.88,40.6,40.95,13203
高雄市前鎮區,0.2602,0.641,42.3948,61.4,42.34,39.35,36.4,28.41,18.04,18.71,31.59,41.21,39.32,40.38,85669
高雄市橋頭區,0.2513,0.6595,42,61.2,45.85,42.06,38.71,33.6,18.63,19.41,31.92,43.33,41.11,41.92,18235
高雄市仁武區,0.243,0.6553,39.2143,61.4,43.29,40.11,36.48,28.73,17.86,17.75,32.66,43.02,40.94,41.92,39792
高雄市三民二,0.3097,0.6355,40.782,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市三民一,0.2946,0.6424,45.8396,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高雄市杉林區,0.0889,0.6998,49,50.6,35.65,31.45,27.33,21.63,11.12,13.55,23.66,31.12,29.96,29.11,4282
高雄市桃源區,0.1254,0.6319,36,58.4,49.94,46.17,41.4,15.67,11.29,11.01,29.27,38.28,36.71,35.42,1644
高雄市田寮區,0.0973,0.7386,52.6228,49.9,37.18,31.78,28.2,27.55,13.54,13.45,25.33,31.76,29.52,30.3,2740
高雄市小港區,0.2329,0.6499,39.3147,61.9,42.8,39.53,35.73,28.47,18.36,18.97,31.82,42.17,40.18,41.6,71301
高雄市新興區,0.3596,0.6459,46,63.7,43.56,40.09,37.98,31.16,20.34,21.29,32.04,42.74,40.26,41.49,24792
高雄市鹽埕區,0.2732,0.636,48,56.6,41.49,38.35,37.04,32.51,21.28,21.34,30.05,39.03,37.15,38.44,11234
高雄市燕巢區,0.1789,0.6613,43,54.6,41.6,38.13,34.2,27.73,16.29,16.91,30.87,40.69,38.2,38.61,13342
高雄市永安區,0.1972,0.6811,41.0721,54.9,46.37,41.86,36.53,29.78,17.62,19.36,34.19,44.29,41.28,42.88,6880
高雄市梓官區,0.1905,0.6468,42,53.6,45.13,41.61,37.79,29.79,17.19,16.88,30.75,41.13,38.53,39.26,16220
高雄市左營區,0.3086,0.6476,41,70.9,43.42,41.48,39.03,25.45,18.51,18.97,34.87,45.38,43.4,44.11,91233
花蓮縣豐濱鄉,0.0638,0.6721,48.1364,48.7,35.81,32.92,28.92,15.43,11.04,11.83,21.39,28.12,26.67,25.69,1622
花蓮縣鳳林鎮,0.1439,0.6874,49,53.9,41.26,37.15,31.86,18.66,12.84,13.71,29.39,40.4,39.1,39.12,4806
花蓮縣富里鄉,0.0906,0.6793,48,49.5,33.03,28.68,23.45,16.46,10.07,11.41,23.53,32.09,30.69,29.58,3645
花蓮縣光復鄉,0.119,0.6645,48.2247,51.6,39.68,36.1,31.02,16.83,10.91,11.78,26.48,35.73,34.38,33.89,5156
花蓮縣花蓮市,0.262,0.6446,40.4204,60.3,39.88,36.35,32.53,18.27,14.38,15.41,30.85,41.48,39.89,40.54,42999
花蓮縣吉安鄉,0.2252,0.644,42,58.7,39.72,35.81,31.31,17.31,13.02,14.19,29.85,40.47,39.12,39.42,35790
花蓮縣瑞穗鄉,0.1231,0.6604,47,52,38.79,34.49,28.95,16.6,10.01,11.04,25.84,35.18,33.36,33.25,4526
花蓮縣壽豐鄉,0.1497,0.67490000000000006,46,52.4,41.12,36.47,31.55,20.19,13.64,14.91,28.18,39.52,37.63,37.62,7986
花蓮縣萬榮鄉,0.0957,0.6057,36,51.9,45.09,40.16,35.24,18.98,12.66,12.68,27.29,35.53,34.2,33.18,2497
花蓮縣新城鄉,0.1692,0.6457,40.0094,60.9,40.35,37.02,30.96,18.81,13.72,14.52,30.18,40.89,39.16,38.62,8538
花蓮縣秀林鄉,0.0995,0.6103,34.86,52.7,38.57,34.64,29.67,18.72,12.75,13.49,27.25,35.15,33.86,32.48,5524
花蓮縣玉里鎮,0.1418,0.6319,46,55.7,36.79,33.23,28.7,15.63,11.04,11.63,24.47,33.23,31.57,31.34,8614
花蓮縣卓溪鄉,0.102,0.6199,36.6351,53.8,46.05,41.86,34.99,16.01,11.14,11.83,27.9,38.18,36.77,36.41,2404
基隆市安樂區,0.2366,0.6408,42,61.9,35.98,33.27,29.84,21.04,17.61,17.49,29.31,39,38.21,38.52,34397
