site_id,College Degree (%),Ever Married (%),Median Age,Median Income (10k NTD),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,Valid Voters
"Alian, Kaohsiung",0.1892,0.653,41,53.7,0.7526691758199554,0.694212944933406,0.6092204656958181,0.5082733261835453,0.31437221159974504,0.3484630163304515,0.5734498543487307,0.782890365448505,0.7439993309358535,0.7597863283532259,12040
"Daliao, Kaohsiung",0.1899,0.6452,41,55.5,0.7562742372137264,0.7072022827919732,0.6443520059160658,0.5022984244670992,0.31724677505533927,0.3181495617484033,0.5865200102870483,0.7941101051344261,0.7580670799554919,0.773011617515639,50697
"Dashe, Kaohsiung",0.2114,0.6505,41.6988,57.6,0.7350478468899522,0.661641541038526,0.6055204483128651,0.523792443806791,0.3401002661385158,0.35719607599652303,0.5758272645969081,0.7506930565405197,0.7332390563733368,0.7503194479938666,15511
"Dashu, Kaohsiung",0.1836,0.6456,43,55,0.769303671189146,0.7087864399857048,0.625,0.5332287017509442,0.3045419153906047,0.3216651885857374,0.5991690356439974,0.7923976608187134,0.753968253968254,0.7636641888937473,18468
"Gangshan, Kaohsiung",0.2472,0.6517,40.063,59.9,0.7574167093798052,0.709036044973545,0.6475538321920634,0.4609628080534711,0.3063275173428632,0.3107075581518403,0.6184428733525356,0.8024806470498949,0.7708613061565891,0.786009580681147,46117
"Gushan, Kaohsiung",0.3296,0.6528,41,68,0.7164834839721306,0.691064298909481,0.6371203097081596,0.4652948312080239,0.3379523416230767,0.34171769748928355,0.6040390900149126,0.7853653120142128,0.7625588258754088,0.7753545901717633,63042
"Hunei, Kaohsiung",0.2056,0.6608,41.7973,55.5,0.7582769668921324,0.694937256598875,0.6249909974792942,0.5210316896404718,0.3153252480705623,0.3191932723078068,0.5850702485718697,0.7836601813812882,0.7428149759204599,0.7388936435073523,12901
"Jiading, Kaohsiung",0.17,0.6351,42.9426,49.9,0.7588915557495091,0.7079182348166188,0.6322912835601324,0.5294374817837365,0.31063539057162376,0.34543504901960786,0.5594603328486023,0.7561389337641357,0.7262011218600114,0.7438036809815951,12380
"Jiasian, Kaohsiung",0.0966,0.6867,47,49.4,0.7916334661354582,0.7027463651050081,0.6202380952380953,0.44906856916369403,0.27909836065573773,0.2931893687707641,0.587273530711445,0.810012836970475,0.7761842677096914,0.7733041575492341,2337
"Linyuan, Kaohsiung",0.1722,0.6426,40,58.7,0.7527155359692136,0.6892270469884121,0.6177171527124491,0.5251074699395676,0.3151225189112304,0.33103403396889436,0.6066707341875127,0.7891913773909524,0.7468393890062692,0.7661892478957372,29643
"Lingya, Kaohsiung",0.3271,0.6432,44,62.5,0.723890200642324,0.685654984151335,0.6394850270949057,0.48759038718891623,0.332695672460049,0.34727094149010806,0.5845089969949675,0.768969602227623,0.7377207454934311,0.7610635696821516,81881
"Liouguei, Kaohsiung",0.0927,0.6791,48,51.1,0.7938961553705906,0.7071414282856572,0.6086172344689379,0.45677062771417293,0.28916155419222905,0.29997932602853006,0.597444089456869,0.7744912943150829,0.7688841201716738,0.7403642524354087,4767
"Lujhu, Kaohsiung",0.2323,0.667,40.55,57.6,0.7546671996801919,0.6896649286609272,0.6168197822655712,0.49659726976201024,0.31785375510372416,0.32977481234361966,0.5842229367631296,0.7804556660715803,0.7546837401168787,0.7630333792154164,23526
"Maolin, Kaohsiung",0.1057,0.5882,36,60,0.8199052132701422,0.7553488372093023,0.6508820798514392,0.31348837209302327,0.2177570093457944,0.23251417769376181,0.6440849342770475,0.8297435897435897,0.8107549120992761,0.780638516992791,975
"Meinong, Kaohsiung",0.1569,0.7179,50,58.3,0.8003713006443158,0.7379171782565018,0.6375399185111772,0.4296786694655256,0.2658369146620528,0.2768278965129359,0.596747120449152,0.7945487860742098,0.7777195434428139,0.7773756712584637,17464
"Mituo, Kaohsiung",0.157,0.6681,42,51.5,0.7789249924081385,0.7138246929002706,0.6480327031170159,0.49373459326212,0.34452975047984646,0.31004179616332656,0.5883072135156163,0.7814724199288257,0.7453083109919572,0.7121717846016912,8992
"Namasia, Kaohsiung",0.1287,0.6455,33.6346,60.5,0.8476190476190476,0.7855002995805872,0.6831559173450219,0.34688156972669937,0.1917900403768506,0.1929107021131561,0.625,0.7939983779399837,0.773102310231023,0.7516393442622951,1233
"Nanzih, Kaohsiung",0.2878,0.6492,38.9678,65.1,0.7330808052423933,0.6937214948605659,0.6370030093014772,0.46443121633244305,0.3261970853573907,0.3317395290540462,0.6033547525661354,0.7913348276026515,0.7638219279940515,0.7782387867515559,83876
"Neimen, Kaohsiung",0.0943,0.707,48,50.1,0.8045173870653234,0.7183860915204199,0.6374528147053996,0.5122112211221123,0.2786007495984294,0.299469964664311,0.591494124230554,0.7722571111932028,0.7557922272047832,0.7463132350196006,5414
"Niaosong, Kaohsiung",0.3158,0.6603,43.6907,68.8,0.7288492080525389,0.6837910421900719,0.6265515146254665,0.512198275862069,0.34698285361660863,0.3494986245452125,0.5756691441338744,0.7726610848198034,0.7402241024468328,0.7588348096064287,21976
"Cijin, Kaohsiung",0.1516,0.6362,42,52.5,0.72910927456382,0.700474080982358,0.6434096413782326,0.5771638754108624,0.3275058275058275,0.3526808084182395,0.5710291332190854,0.7548468925529987,0.7314390467461045,0.7364607860894765,11038
"Cishan, Kaohsiung",0.1643,0.667,46.5377,54.1,0.7733786039017092,0.6971181892427954,0.6139695146878468,0.5154721274175199,0.3116357707867882,0.34322831299702544,0.6012457178449081,0.7906269397889509,0.7540870221327968,0.759979977474659,16110
